time,PM2.5,freq
2016-03-03,136.7,65.0
2016-03-04,62.824999999999996,71.0
2016-03-05,52.80416666666667,56.0
2016-03-06,83.66250000000001,47.0
2016-03-07,94.20000000000003,67.0
2016-03-08,152.4333333333333,73.0
2016-03-09,327.5291666666667,210.0
2016-03-10,82.61764705882354,117.0
2016-03-11,46.03333333333334,120.0
2016-03-12,47.65789473684212,63.0
2016-03-13,45.62105263157895,71.0
2016-03-14,67.43181818181819,67.0
2016-03-15,61.804166666666674,66.0
2016-03-16,95.54090909090907,32.0
2016-03-17,92.20416666666665,46.0
2016-03-18,110.02083333333336,28.0
2016-03-19,95.3625,15.0
2016-03-20,79.25833333333334,13.0
2016-03-21,58.791666666666664,529.0
2016-03-22,61.44166666666666,220.0
2016-03-23,117.51250000000003,59.0
2016-03-24,119.30833333333332,28.0
2016-03-25,93.4375,92.0
2016-03-26,47.33333333333332,51.0
2016-03-27,70.06666666666668,139.0
2016-03-28,85.47272727272728,111.0
2016-03-29,100.37916666666666,201.0
2016-03-30,141.92083333333332,106.0
2016-03-31,103.23636363636363,136.0
2016-04-01,107.24166666666667,139.0
2016-04-02,105.9913043478261,95.0
2016-04-03,117.58333333333333,122.0
2016-04-04,109.08636363636364,149.0
2016-04-05,105.52916666666665,212.0
2016-04-06,108.1736842105263,127.0
2016-04-07,81.76086956521739,265.0
2016-04-08,129.89166666666668,279.0
2016-04-09,77.15833333333335,247.0
2016-04-10,75.60000000000001,203.0
2016-04-11,65.66190476190475,132.0
2016-04-12,67.19444444444444,142.0
2016-04-13,92.85000000000001,180.0
2016-04-14,123.13333333333333,364.0
2016-04-15,107.42500000000003,798.0
2016-04-16,94.91666666666664,771.0
2016-04-17,95.47083333333335,1333.0
2016-04-18,115.6916666666667,3215.0
2016-04-19,126.29166666666663,2633.0
2016-04-20,83.82083333333334,1457.0
2016-04-21,104.65416666666668,1367.0
2016-04-22,82.93333333333332,1093.0
2016-04-23,114.02083333333333,802.0
2016-04-24,91.875,729.0
2016-04-25,123.29047619047621,1347.0
2016-04-26,136.51666666666662,1063.0
2016-04-27,149.84583333333333,990.0
2016-04-28,177.9375,937.0
2016-04-29,164.2208333333333,823.0
2016-04-30,131.5434782608696,1737.0
2016-05-01,192.26666666666668,946.0
2016-05-02,150.40833333333333,1030.0
2016-05-03,121.0304347826087,639.0
2016-05-04,81.08333333333333,584.0
2016-05-05,56.9375,437.0
2016-05-06,76.05833333333332,200.0
2016-05-07,92.19130434782609,212.0
2016-05-08,77.89166666666667,126.0
2016-05-09,78.62916666666668,278.0
2016-05-10,57.70833333333334,330.0
2016-05-11,74.37500000000001,345.0
2016-05-12,91.3125,706.0
2016-05-13,90.15833333333332,419.0
2016-05-14,134.39999999999998,260.0
2016-05-15,95.07083333333334,160.0
2016-05-16,73.78333333333333,291.0
2016-05-17,95.32500000000003,241.0
2016-05-18,82.46521739130434,276.0
2016-05-19,79.3875,185.0
2016-05-20,68.55416666666666,123.0
2016-05-21,58.041666666666664,123.0
2016-05-22,77.05833333333332,89.0
2016-05-23,55.758333333333304,182.0
2016-05-24,74.79583333333335,133.0
2016-05-25,86.05416666666666,111.0
2016-05-26,158.20833333333334,119.0
2016-05-27,124.07916666666667,123.0
2016-05-28,87.73333333333335,82.0
2016-05-29,81.05,99.0
2016-05-30,82.94583333333335,107.0
2016-05-31,70.85263157894735,120.0
2016-06-01,83.64444444444445,82.0
2016-06-02,108.5272727272727,108.0
2016-06-03,116.37083333333332,127.0
2016-06-04,86.29166666666667,105.0
2016-06-05,77.25714285714287,75.0
2016-06-06,77.18333333333334,62.0
2016-06-07,71.0304347826087,291.0
2016-06-08,63.645833333333336,129.0
2016-06-09,72.90434782608695,83.0
2016-06-10,77.82608695652173,55.0
